Start date;Stop date;Network;Fleet;report_ev;Group;User;Charging Station;City;Duration (min);Total Energy (kWh);CO2 Emitted;Duration after charging session (min);Charging duration (min);Roaming cost/time (€);Roaming cost/energy (€);Activation fee;Tariff per kWh;Tariff per min;Tariff during charging session (€/min);Tariff after charging session (€/min);MOBIE CEME tariff (€);MOBIE CEME total (€);MOBIE TAR total (€);MOBIE CPO total (€);MOBIE E-mobility support (€);MOBIE EGME total (€);MOBIE IEC total (€);Cost excl. IVA;VAT rate (%);Cost incl. IVA;Status;Temp;Plus;;;;t;p;Charging Station
03/08/2023 | 13:11;03/08/2023 | 13:12;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;0,867;0,04;0;0;0,867;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,02;23;0,02;TOPROCESS;14,25;0;;;;0,01445;2,76816609;CAP_SON_MAI_00004
03/08/2023 | 13:11;03/08/2023 | 13:11;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;0,15;0;0;0;0,15;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0;23;0;TOPROCESS;14,25;0;;;;0,0025;0;CAP_SON_MAI_00004
02/28/2023 | 09:19;02/28/2023 | 10:07;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00002;Maia;47,867;48,04;0;0;47,867;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,96;23;1,18;TOPROCESS;8,75;0;;;;0,797783333;60,21685086;CAP_SON_MAI_00002
02/15/2023 | 13:53;02/15/2023 | 19:29;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00010;Moreira;336,067;42,31;0;0;336,067;-;-;-;-;0,015;-;0,005;-;-;-;-;-;-;-;5,04;23;6,2;TOPROCESS;14;0;;;;5,601116667;7,553850869;CAP_SON_MAI_00010
02/14/2023 | 08:38;02/14/2023 | 12:48;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00003;Maia;250,7;10,811;0;0;250,7;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;5,01;23;6,16;TOPROCESS;13,75;0;;;;4,178333333;2,587395293;CAP_SON_MAI_00003
02/13/2023 | 08:31;02/13/2023 | 12:59;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00010;Moreira;268,833;46,69;0;0;268,833;-;-;-;-;0,015;-;0,005;-;-;-;-;-;-;-;4,03;23;4,96;TOPROCESS;13;0;;;;4,48055;10,42059569;CAP_SON_MAI_00010
02/13/2023 | 08:29;02/13/2023 | 08:29;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00010;Moreira;0,217;0;0;0;0,217;-;-;-;-;0,015;-;0,005;-;-;-;-;-;-;-;0;23;0;TOPROCESS;13;0;;;;0,003616667;0;CAP_SON_MAI_00010
02/03/2023 | 08:08;02/03/2023 | 10:31;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;143,1;23,82;0;0;143,1;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;2,86;23;3,52;TOPROCESS;10,5;0;;;;2,385;9,987421384;CAP_SON_MAI_00004
02/01/2023 | 08:50;02/01/2023 | 12:42;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;232,767;41,44;0;0;232,767;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;4,66;23;5,73;TOPROCESS;9;0;;;;3,87945;10,68192656;CAP_SON_MAI_00004
02/01/2023 | 08:48;02/01/2023 | 08:49;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;1,017;0,04;0;0;1,017;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,02;23;0,02;TOPROCESS;9;0;;;;0,01695;2,359882006;CAP_SON_MAI_00004
01/30/2023 | 08:23;01/30/2023 | 11:21;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00010;Moreira;178,533;31,92;0;0;178,533;-;-;-;-;0,015;-;0,005;-;-;-;-;-;-;-;2,68;23;3,3;TOPROCESS;7,5;0;;;;2,97555;10,72742854;CAP_SON_MAI_00010
01/24/2023 | 08:37;01/24/2023 | 18:52;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00003;Maia;468,267;55,51;0;0;468,267;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;9,37;23;11,53;TOPROCESS;7,75;0;;;;7,80445;7,112608832;CAP_SON_MAI_00003
01/13/2023 | 13:49;01/13/2023 | 15:16;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00010;Moreira;87,15;6,63;0;0;87,15;-;-;-;-;0,015;-;0,005;-;-;-;-;-;-;-;1,31;23;1,61;TOPROCESS;12,25;0;;;;1,4525;4,56454389;CAP_SON_MAI_00010
01/11/2023 | 08:57;01/11/2023 | 17:37;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00010;Moreira;520,333;42,08;0;0;520,333;-;-;-;-;0,015;-;0,005;-;-;-;-;-;-;-;7,81;23;9,61;TOPROCESS;13,25;0;;;;8,672216667;4,852277292;CAP_SON_MAI_00010
01/10/2023 | 08:18;01/10/2023 | 11:24;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;185,367;32,55;0;0;185,367;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;3,71;23;4,56;TOPROCESS;12,25;0;;;;3,08945;10,5358559;CAP_SON_MAI_00004
01/09/2023 | 18:19;01/09/2023 | 18:57;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00010;Moreira;38,217;7,04;0;0;38,217;-;-;-;-;0,015;-;0,005;-;-;-;-;-;-;-;0,57;23;0,7;TOPROCESS;13;0;;;;0,63695;11,05267289;CAP_SON_MAI_00010
01/09/2023 | 08:23;01/09/2023 | 11:22;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00001;Maia;178,617;20,52;0;0;178,617;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;3,57;23;4,39;TOPROCESS;13;0;;;;2,97695;6,892960916;CAP_SON_MAI_00001
01/06/2023 | 18:16;01/06/2023 | 18:45;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00002;Maia;28,767;24,12;0;0;28,767;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,58;23;0,71;TOPROCESS;11;0;;;;0,47945;50,30764418;CAP_SON_MAI_00002
01/04/2023 | 14:59;01/04/2023 | 18:22;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00001;Maia;202,55;14,62;0;0;202,55;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;4,05;23;4,98;TOPROCESS;11,25;0;;;;3,375833333;4,330782523;CAP_SON_MAI_00001
01/03/2023 | 14:16;01/03/2023 | 19:14;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00010;Moreira;298,067;46,44;0;0;298,067;-;-;-;-;0,015;-;0,005;-;-;-;-;-;-;-;4,47;23;5,5;TOPROCESS;10,25;0;;;;4,967783333;9,348233786;CAP_SON_MAI_00010
12/27/2022 | 14:57;12/27/2022 | 18:29;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00001;Maia;212,2;17,02;4,2321;0;212,2;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;4,24;23;5,22;TOPROCESS;13,5;0;;;;3,536666667;4,812441093;CAP_SON_MAI_00001
12/27/2022 | 09:42;12/27/2022 | 10:35;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00002;Maia;52,717;46,53;11,5698;0;52,717;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;1,05;23;1,29;TOPROCESS;13,5;0;;;;0,878616667;52,95824876;CAP_SON_MAI_00002
12/21/2022 | 13:13;12/21/2022 | 17:48;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;275,133;49,82;12,3879;0;275,133;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;5,5;23;6,77;TOPROCESS;15,75;0;;;;4,58555;10,86456368;CAP_SON_MAI_00004
12/19/2022 | 11:12;12/19/2022 | 11:58;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00002;Maia;45,5;44,59;11,0875;0;45,5;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,91;23;1,12;TOPROCESS;15;0;;;;0,758333333;58,8;CAP_SON_MAI_00002
12/16/2022 | 08:27;12/16/2022 | 12:18;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;230,083;41,08;10,2147;0;230,083;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;4,6;23;5,66;TOPROCESS;11,75;0;;;;3,834716667;10,71265587;CAP_SON_MAI_00004
12/14/2022 | 08:18;12/14/2022 | 11:12;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00001;Maia;173,15;5,61;1,3949;0;173,15;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;3,46;23;4,26;TOPROCESS;14;0;;;;2,885833333;1,943979209;CAP_SON_MAI_00001
12/13/2022 | 13:26;12/13/2022 | 19:57;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00001;Maia;390,967;35,16;8,7427;0;390,967;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;7,82;23;9,62;TOPROCESS;15,5;0;;;;6,516116667;5,395851824;CAP_SON_MAI_00001
12/13/2022 | 11:14;12/13/2022 | 12:07;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00001;Maia;52,617;6,05;1,5044;0;52,617;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;1,05;23;1,29;TOPROCESS;15,5;0;;;;0,87695;6,898910998;CAP_SON_MAI_00001
12/13/2022 | 08:47;12/13/2022 | 10:07;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00001;Maia;80,65;9,05;2,2503;0;80,65;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;1,61;23;1,98;TOPROCESS;15,5;0;;;;1,344166667;6,732796032;CAP_SON_MAI_00001
12/06/2022 | 17:27;12/06/2022 | 17:45;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00002;Maia;18,417;5,96;1,482;0;18,417;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,37;23;0,46;TOPROCESS;12;0;;;;0,30695;19,41684313;CAP_SON_MAI_00002
12/06/2022 | 09:23;12/06/2022 | 10:19;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00002;Maia;56,45;48,11;11,9627;0;56,45;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;1,13;23;1,39;TOPROCESS;12;0;;;;0,940833333;51,13551816;CAP_SON_MAI_00002
11/30/2022 | 08:51;11/30/2022 | 18:49;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00001;Maia;598,733;49,44;12,2934;0;598,733;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;11,97;23;14,72;TOPROCESS;11,25;0;;;;9,978883333;4,954462173;CAP_SON_MAI_00001
11/24/2022 | 16:03;11/24/2022 | 19:04;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00010;Moreira;181,833;31,04;7,7182;0;181,833;-;-;-;-;0,015;-;0,005;-;-;-;-;-;-;-;2,73;23;3,36;TOPROCESS;14,75;0;;;;3,03055;10,24236525;CAP_SON_MAI_00010
11/24/2022 | 08:15;11/24/2022 | 08:38;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00002;Maia;22,9;37,61;9,3519;0;22,9;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,46;23;0,57;TOPROCESS;14,75;0;;;;0,381666667;98,54148472;CAP_SON_MAI_00002
11/22/2022 | 08:21;11/22/2022 | 13:33;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00001;Maia;311,833;21,25;5,2839;0;311,833;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;6,24;23;7,68;TOPROCESS;14,75;0;;;;5,197216667;4,088726979;CAP_SON_MAI_00001
11/21/2022 | 08:42;11/21/2022 | 12:45;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00010;Moreira;243,1;44,19;10,988;0;243,1;-;-;-;-;0,015;-;0,005;-;-;-;-;-;-;-;3,65;23;4,49;TOPROCESS;15,75;0;;;;4,051666667;10,90662279;CAP_SON_MAI_00010
11/18/2022 | 08:27;11/18/2022 | 12:01;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;213,817;38,57;9,5906;0;213,817;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;4,28;23;5,26;TOPROCESS;13;0;;;;3,563616667;10,82327411;CAP_SON_MAI_00004
11/15/2022 | 17:50;11/15/2022 | 18:28;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;37,95;7,13;1,7729;0;37,95;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,76;23;0,93;TOPROCESS;16;0;;;;0,6325;11,27272727;CAP_SON_MAI_00004
11/15/2022 | 17:49;11/15/2022 | 17:49;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00004;Maia;0,65;0;0;0;0,65;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,01;23;0,01;TOPROCESS;16;0;;;;0,010833333;0;CAP_SON_MAI_00004
11/14/2022 | 08:26;11/14/2022 | 15:53;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00010;Moreira;446,683;45,04;11,1994;0;446,683;-;-;-;-;0,015;-;0,005;-;-;-;-;-;-;-;6,7;23;8,24;TOPROCESS;15,25;0;;;;7,444716667;6,049928025;CAP_SON_MAI_00010
11/10/2022 | 08:15;11/10/2022 | 13:34;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00001;Maia;318,933;21,77;5,4132;0;318,933;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;6,38;23;7,85;TOPROCESS;16,5;0;;;;5,31555;4,095531036;CAP_SON_MAI_00001
11/04/2022 | 13:42;11/04/2022 | 18:49;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00001;Maia;307,15;20,49;5,0949;0;307,15;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;6,14;23;7,55;TOPROCESS;13;0;;;;5,119166667;4,002604591;CAP_SON_MAI_00001
11/02/2022 | 08:42;11/02/2022 | 15:59;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00001;Maia;436,9;42,05;10,4559;0;436,9;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;8,74;23;10,75;TOPROCESS;14,25;0;;;;7,281666667;5,774776837;CAP_SON_MAI_00001
10/28/2022 | 09:44;10/28/2022 | 10:29;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00002;Maia;45,783;34,8;8,6531;0;45,783;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,92;23;1,13;TOPROCESS;18,25;0;;;;0,76305;45,60644781;CAP_SON_MAI_00002
10/27/2022 | 22:09;10/27/2022 | 22:23;EVIO;Frota Capwatt;AA-99-AA;Others;José Silva;CAP_SON_MAI_00002;Maia;14,4;29,81;7,4124;0;14,4;-;-;-;-;0,02;-;-;-;-;-;-;-;-;-;0,29;23;0,36;TOPROCESS;19,25;0;;;;0,24;124,2083333;CAP_SON_MAI_00002
